Time,Color Temperature (K)
12:00 AM,2700
12:05 AM,2700
12:10 AM,2700
12:15 AM,2700
12:20 AM,2700
12:25 AM,2700
12:30 AM,2700
12:35 AM,2700
12:40 AM,2700
12:45 AM,2700
12:50 AM,2700
12:55 AM,2700
01:00 AM,2700
01:05 AM,2700
01:10 AM,2700
01:15 AM,2700
01:20 AM,2700
01:25 AM,2700
01:30 AM,2700
01:35 AM,2700
01:40 AM,2700
01:45 AM,2700
01:50 AM,2700
01:55 AM,2700
02:00 AM,2700
02:05 AM,2700
02:10 AM,2700
02:15 AM,2700
02:20 AM,2700
02:25 AM,2700
02:30 AM,2700
02:35 AM,2700
02:40 AM,2700
02:45 AM,2700
02:50 AM,2700
02:55 AM,2700
03:00 AM,2700
03:05 AM,2700
03:10 AM,2700
03:15 AM,2700
03:20 AM,2700
03:25 AM,2700
03:30 AM,2700
03:35 AM,2700
03:40 AM,2700
03:45 AM,2700
03:50 AM,2700
03:55 AM,2700
04:00 AM,2700
04:05 AM,2700
04:10 AM,2700
04:15 AM,2700
04:20 AM,2700
04:25 AM,2700
04:30 AM,2700
04:35 AM,2700
04:40 AM,2700
04:45 AM,2700
04:50 AM,2700
04:55 AM,2700
05:00 AM,2700
05:05 AM,2700
05:10 AM,2700
05:15 AM,2700
05:20 AM,2700
05:25 AM,2700
05:30 AM,2700
05:35 AM,2700
05:40 AM,2700
05:45 AM,2700
05:50 AM,2700
05:55 AM,2700
06:00 AM,2700
06:05 AM,2700
06:10 AM,2700
06:15 AM,2700
06:20 AM,2700
06:25 AM,2700
06:30 AM,2715
06:35 AM,2743
06:40 AM,2774
06:45 AM,2808
06:50 AM,2846
06:55 AM,2887
07:00 AM,2932
07:05 AM,2980
07:10 AM,3030
07:15 AM,3084
07:20 AM,3141
07:25 AM,3201
07:30 AM,3263
07:35 AM,3328
07:40 AM,3395
07:45 AM,3464
07:50 AM,3536
07:55 AM,3610
08:00 AM,3685
08:05 AM,3762
08:10 AM,3841
08:15 AM,3921
08:20 AM,4002
08:25 AM,4084
08:30 AM,4167
08:35 AM,4251
08:40 AM,4335
08:45 AM,4419
08:50 AM,4504
08:55 AM,4589
09:00 AM,4673
09:05 AM,4758
09:10 AM,4841
09:15 AM,4924
09:20 AM,5007
09:25 AM,5088
09:30 AM,5168
09:35 AM,5246
09:40 AM,5324
09:45 AM,5399
09:50 AM,5473
09:55 AM,5544
10:00 AM,5614
10:05 AM,5681
10:10 AM,5746
10:15 AM,5809
10:20 AM,5868
10:25 AM,5925
10:30 AM,5979
10:35 AM,6030
10:40 AM,6078
10:45 AM,6123
10:50 AM,6164
10:55 AM,6202
11:00 AM,6237
11:05 AM,6268
11:10 AM,6296
11:15 AM,6319
11:20 AM,6340
11:25 AM,6356
11:30 AM,6369
11:35 AM,6377
11:40 AM,6382
11:45 AM,6384
11:50 AM,6381
11:55 AM,6374
12:00 PM,6364
12:05 PM,6350
12:10 PM,6332
12:15 PM,6311
12:20 PM,6286
12:25 PM,6257
12:30 PM,6224
12:35 PM,6188
12:40 PM,6149
12:45 PM,6106
12:50 PM,6060
12:55 PM,6011
01:00 PM,5959
01:05 PM,5904
01:10 PM,5846
01:15 PM,5785
01:20 PM,5722
01:25 PM,5656
01:30 PM,5588
01:35 PM,5517
01:40 PM,5445
01:45 PM,5371
01:50 PM,5294
01:55 PM,5217
02:00 PM,5138
02:05 PM,5057
02:10 PM,4976
02:15 PM,4893
02:20 PM,4810
02:25 PM,4726
02:30 PM,4641
02:35 PM,4557
02:40 PM,4472
02:45 PM,4387
02:50 PM,4303
02:55 PM,4219
03:00 PM,4135
03:05 PM,4052
03:10 PM,3971
03:15 PM,3890
03:20 PM,3811
03:25 PM,3733
03:30 PM,3656
03:35 PM,3581
03:40 PM,3509
03:45 PM,3438
03:50 PM,3369
03:55 PM,3303
04:00 PM,3239
04:05 PM,3178
04:10 PM,3119
04:15 PM,3064
04:20 PM,3011
04:25 PM,2961
04:30 PM,2914
04:35 PM,2871
04:40 PM,2831
04:45 PM,2794
04:50 PM,2761
04:55 PM,2732
05:00 PM,2706
05:05 PM,2700
05:10 PM,2700
05:15 PM,2700
05:20 PM,2700
05:25 PM,2700
05:30 PM,2700
05:35 PM,2700
05:40 PM,2700
05:45 PM,2700
05:50 PM,2700
05:55 PM,2700
06:00 PM,2700
06:05 PM,2700
06:10 PM,2700
06:15 PM,2700
06:20 PM,2700
06:25 PM,2700
06:30 PM,2700
06:35 PM,2700
06:40 PM,2700
06:45 PM,2700
06:50 PM,2700
06:55 PM,2700
07:00 PM,2700
07:05 PM,2700
07:10 PM,2700
07:15 PM,2700
07:20 PM,2700
07:25 PM,2700
07:30 PM,2700
07:35 PM,2700
07:40 PM,2700
07:45 PM,2700
07:50 PM,2700
07:55 PM,2700
08:00 PM,2700
08:05 PM,2700
08:10 PM,2700
08:15 PM,2700
08:20 PM,2700
08:25 PM,2700
08:30 PM,2700
08:35 PM,2700
08:40 PM,2700
08:45 PM,2700
08:50 PM,2700
08:55 PM,2700
09:00 PM,2700
09:05 PM,2700
09:10 PM,2700
09:15 PM,2700
09:20 PM,2700
09:25 PM,2700
09:30 PM,2700
09:35 PM,2700
09:40 PM,2700
09:45 PM,2700
09:50 PM,2700
09:55 PM,2700
10:00 PM,2700
10:05 PM,2700
10:10 PM,2700
10:15 PM,2700
10:20 PM,2700
10:25 PM,2700
10:30 PM,2700
10:35 PM,2700
10:40 PM,2700
10:45 PM,2700
10:50 PM,2700
10:55 PM,2700
11:00 PM,2700
11:05 PM,2700
11:10 PM,2700
11:15 PM,2700
11:20 PM,2700
11:25 PM,2700
11:30 PM,2700
11:35 PM,2700
11:40 PM,2700
11:45 PM,2700
11:50 PM,2700
11:55 PM,2700
