Time,Color Temperature (K),Brightness
12:00 AM,4100,0.0
12:05 AM,4100,0.0
12:10 AM,4100,0.0
12:15 AM,4100,0.0
12:20 AM,4100,0.0
12:25 AM,4100,0.0
12:30 AM,4100,0.0
12:35 AM,4100,0.0
12:40 AM,4100,0.0
12:45 AM,4100,0.0
12:50 AM,4100,0.0
12:55 AM,4100,0.0
01:00 AM,4100,0.0
01:05 AM,4100,0.0
01:10 AM,4100,0.0
01:15 AM,4100,0.0
01:20 AM,4100,0.0
01:25 AM,4100,0.0
01:30 AM,4100,0.0
01:35 AM,4100,0.0
01:40 AM,4100,0.0
01:45 AM,4100,0.0
01:50 AM,4100,0.0
01:55 AM,4100,0.0
02:00 AM,4100,0.0
02:05 AM,4100,0.0
02:10 AM,4100,0.0
02:15 AM,4100,0.0
02:20 AM,4100,0.0
02:25 AM,4100,0.0
02:30 AM,4100,0.0
02:35 AM,4100,0.0
02:40 AM,4100,0.0
02:45 AM,4100,0.0
02:50 AM,4100,0.0
02:55 AM,4100,0.0
03:00 AM,4100,0.0
03:05 AM,4100,0.0
03:10 AM,4100,0.0
03:15 AM,4100,0.0
03:20 AM,4100,0.0
03:25 AM,4100,0.0
03:30 AM,4100,0.0
03:35 AM,4100,0.0
03:40 AM,4100,0.0
03:45 AM,4100,0.0
03:50 AM,4100,0.0
03:55 AM,4100,0.0
04:00 AM,4100,0.0
04:05 AM,4100,0.0
04:10 AM,4100,0.0
04:15 AM,4100,0.0
04:20 AM,4100,0.0
04:25 AM,4100,0.0
04:30 AM,4100,0.0
04:35 AM,4100,0.0
04:40 AM,4100,0.0
04:45 AM,4100,0.0
04:50 AM,4100,0.0
04:55 AM,4100,0.0
05:00 AM,4100,0.0
05:05 AM,4100,0.0
05:10 AM,4100,0.0
05:15 AM,4100,0.0
05:20 AM,4100,0.0
05:25 AM,4100,0.0
05:30 AM,4100,0.0
05:35 AM,4100,0.0
05:40 AM,4100,0.0
05:45 AM,4100,0.0
05:50 AM,4100,0.0
05:55 AM,4100,0.0
06:00 AM,4100,0.0
06:05 AM,4100,0.0
06:10 AM,4100,0.0
06:15 AM,4100,0.0
06:20 AM,4100,0.0
06:25 AM,4100,0.0
06:30 AM,4100,0.0
06:35 AM,4100,0.0
06:40 AM,4100,0.0
06:45 AM,4100,0.0
06:50 AM,4100,0.0
06:55 AM,4100,0.0
07:00 AM,4100,0.0
07:05 AM,4100,0.0
07:10 AM,4100,0.0
07:15 AM,4135,0.02
07:20 AM,4193,0.05
07:25 AM,4249,0.08
07:30 AM,4305,0.11
07:35 AM,4360,0.14
07:40 AM,4414,0.17
07:45 AM,4467,0.19
07:50 AM,4520,0.22
07:55 AM,4571,0.25
08:00 AM,4621,0.27
08:05 AM,4671,0.3
08:10 AM,4719,0.33
08:15 AM,4767,0.35
08:20 AM,4814,0.38
08:25 AM,4860,0.4
08:30 AM,4905,0.42
08:35 AM,4949,0.45
08:40 AM,4992,0.47
08:45 AM,5034,0.49
08:50 AM,5076,0.51
08:55 AM,5116,0.53
09:00 AM,5156,0.56
09:05 AM,5194,0.58
09:10 AM,5232,0.6
09:15 AM,5269,0.62
09:20 AM,5305,0.63
09:25 AM,5340,0.65
09:30 AM,5374,0.67
09:35 AM,5407,0.69
09:40 AM,5439,0.7
09:45 AM,5471,0.72
09:50 AM,5501,0.74
09:55 AM,5531,0.75
10:00 AM,5560,0.77
10:05 AM,5587,0.78
10:10 AM,5614,0.8
10:15 AM,5640,0.81
10:20 AM,5665,0.82
10:25 AM,5689,0.84
10:30 AM,5713,0.85
10:35 AM,5735,0.86
10:40 AM,5756,0.87
10:45 AM,5777,0.88
10:50 AM,5797,0.89
10:55 AM,5815,0.9
11:00 AM,5833,0.91
11:05 AM,5850,0.92
11:10 AM,5866,0.93
11:15 AM,5881,0.94
11:20 AM,5895,0.94
11:25 AM,5909,0.95
11:30 AM,5921,0.96
11:35 AM,5933,0.96
11:40 AM,5943,0.97
11:45 AM,5953,0.98
11:50 AM,5962,0.98
11:55 AM,5970,0.98
12:00 PM,5977,0.99
12:05 PM,5983,0.99
12:10 PM,5988,0.99
12:15 PM,5992,1.0
12:20 PM,5995,1.0
12:25 PM,5998,1.0
12:30 PM,5999,1.0
12:35 PM,6000,1.0
12:40 PM,6000,1.0
12:45 PM,5999,1.0
12:50 PM,5996,1.0
12:55 PM,5993,1.0
01:00 PM,5990,0.99
01:05 PM,5985,0.99
01:10 PM,5979,0.99
01:15 PM,5972,0.99
01:20 PM,5965,0.98
01:25 PM,5957,0.98
01:30 PM,5947,0.97
01:35 PM,5937,0.97
01:40 PM,5926,0.96
01:45 PM,5914,0.95
01:50 PM,5901,0.95
01:55 PM,5887,0.94
02:00 PM,5872,0.93
02:05 PM,5857,0.92
02:10 PM,5840,0.92
02:15 PM,5823,0.91
02:20 PM,5804,0.9
02:25 PM,5785,0.89
02:30 PM,5765,0.88
02:35 PM,5744,0.87
02:40 PM,5722,0.85
02:45 PM,5699,0.84
02:50 PM,5675,0.83
02:55 PM,5650,0.82
03:00 PM,5625,0.8
03:05 PM,5598,0.79
03:10 PM,5571,0.77
03:15 PM,5542,0.76
03:20 PM,5513,0.74
03:25 PM,5483,0.73
03:30 PM,5452,0.71
03:35 PM,5420,0.69
03:40 PM,5387,0.68
03:45 PM,5353,0.66
03:50 PM,5319,0.64
03:55 PM,5283,0.62
04:00 PM,5247,0.6
04:05 PM,5209,0.58
04:10 PM,5171,0.56
04:15 PM,5132,0.54
04:20 PM,5092,0.52
04:25 PM,5051,0.5
04:30 PM,5009,0.48
04:35 PM,4966,0.46
04:40 PM,4922,0.43
04:45 PM,4878,0.41
04:50 PM,4832,0.39
04:55 PM,4786,0.36
05:00 PM,4739,0.34
05:05 PM,4690,0.31
05:10 PM,4641,0.28
05:15 PM,4591,0.26
05:20 PM,4540,0.23
05:25 PM,4488,0.2
05:30 PM,4436,0.18
05:35 PM,4382,0.15
05:40 PM,4327,0.12
05:45 PM,4272,0.09
05:50 PM,4215,0.06
05:55 PM,4158,0.03
06:00 PM,4100,0.0
06:05 PM,4100,0.0
06:10 PM,4100,0.0
06:15 PM,4100,0.0
06:20 PM,4100,0.0
06:25 PM,4100,0.0
06:30 PM,4100,0.0
06:35 PM,4100,0.0
06:40 PM,4100,0.0
06:45 PM,4100,0.0
06:50 PM,4100,0.0
06:55 PM,4100,0.0
07:00 PM,4100,0.0
07:05 PM,4100,0.0
07:10 PM,4100,0.0
07:15 PM,4100,0.0
07:20 PM,4100,0.0
07:25 PM,4100,0.0
07:30 PM,4100,0.0
07:35 PM,4100,0.0
07:40 PM,4100,0.0
07:45 PM,4100,0.0
07:50 PM,4100,0.0
07:55 PM,4100,0.0
08:00 PM,4100,0.0
08:05 PM,4100,0.0
08:10 PM,4100,0.0
08:15 PM,4100,0.0
08:20 PM,4100,0.0
08:25 PM,4100,0.0
08:30 PM,4100,0.0
08:35 PM,4100,0.0
08:40 PM,4100,0.0
08:45 PM,4100,0.0
08:50 PM,4100,0.0
08:55 PM,4100,0.0
09:00 PM,4100,0.0
09:05 PM,4100,0.0
09:10 PM,4100,0.0
09:15 PM,4100,0.0
09:20 PM,4100,0.0
09:25 PM,4100,0.0
09:30 PM,4100,0.0
09:35 PM,4100,0.0
09:40 PM,4100,0.0
09:45 PM,4100,0.0
09:50 PM,4100,0.0
09:55 PM,4100,0.0
10:00 PM,4100,0.0
10:05 PM,4100,0.0
10:10 PM,4100,0.0
10:15 PM,4100,0.0
10:20 PM,4100,0.0
10:25 PM,4100,0.0
10:30 PM,4100,0.0
10:35 PM,4100,0.0
10:40 PM,4100,0.0
10:45 PM,4100,0.0
10:50 PM,4100,0.0
10:55 PM,4100,0.0
11:00 PM,4100,0.0
11:05 PM,4100,0.0
11:10 PM,4100,0.0
11:15 PM,4100,0.0
11:20 PM,4100,0.0
11:25 PM,4100,0.0
11:30 PM,4100,0.0
11:35 PM,4100,0.0
11:40 PM,4100,0.0
11:45 PM,4100,0.0
11:50 PM,4100,0.0
11:55 PM,4100,0.0
