Time,Color Temperature (K),Brightness
12:00 AM,4000,0.0
12:05 AM,4000,0.0
12:10 AM,4000,0.0
12:15 AM,4000,0.0
12:20 AM,4000,0.0
12:25 AM,4000,0.0
12:30 AM,4000,0.0
12:35 AM,4000,0.0
12:40 AM,4000,0.0
12:45 AM,4000,0.0
12:50 AM,4000,0.0
12:55 AM,4000,0.0
01:00 AM,4000,0.0
01:05 AM,4000,0.0
01:10 AM,4000,0.0
01:15 AM,4000,0.0
01:20 AM,4000,0.0
01:25 AM,4000,0.0
01:30 AM,4000,0.0
01:35 AM,4000,0.0
01:40 AM,4000,0.0
01:45 AM,4000,0.0
01:50 AM,4000,0.0
01:55 AM,4000,0.0
02:00 AM,4000,0.0
02:05 AM,4000,0.0
02:10 AM,4000,0.0
02:15 AM,4000,0.0
02:20 AM,4000,0.0
02:25 AM,4000,0.0
02:30 AM,4000,0.0
02:35 AM,4000,0.0
02:40 AM,4000,0.0
02:45 AM,4000,0.0
02:50 AM,4000,0.0
02:55 AM,4000,0.0
03:00 AM,4000,0.0
03:05 AM,4000,0.0
03:10 AM,4000,0.0
03:15 AM,4000,0.0
03:20 AM,4000,0.0
03:25 AM,4000,0.0
03:30 AM,4000,0.0
03:35 AM,4000,0.0
03:40 AM,4000,0.0
03:45 AM,4000,0.0
03:50 AM,4000,0.0
03:55 AM,4000,0.0
04:00 AM,4000,0.0
04:05 AM,4000,0.0
04:10 AM,4000,0.0
04:15 AM,4000,0.0
04:20 AM,4000,0.0
04:25 AM,4000,0.0
04:30 AM,4000,0.0
04:35 AM,4000,0.0
04:40 AM,4000,0.0
04:45 AM,4000,0.0
04:50 AM,4000,0.0
04:55 AM,4000,0.0
05:00 AM,4000,0.0
05:05 AM,4000,0.0
05:10 AM,4000,0.0
05:15 AM,4000,0.0
05:20 AM,4000,0.0
05:25 AM,4000,0.0
05:30 AM,4000,0.0
05:35 AM,4000,0.0
05:40 AM,4000,0.0
05:45 AM,4000,0.0
05:50 AM,4000,0.0
05:55 AM,4000,0.0
06:00 AM,4000,0.0
06:05 AM,4000,0.0
06:10 AM,4000,0.0
06:15 AM,4000,0.0
06:20 AM,4000,0.0
06:25 AM,4000,0.0
06:30 AM,4000,0.0
06:35 AM,4000,0.0
06:40 AM,4000,0.0
06:45 AM,4000,0.0
06:50 AM,4000,0.0
06:55 AM,4000,0.0
07:00 AM,4000,0.0
07:05 AM,4000,0.0
07:10 AM,4000,0.0
07:15 AM,4000,0.0
07:20 AM,4000,0.0
07:25 AM,4000,0.0
07:30 AM,4000,0.0
07:35 AM,4000,0.0
07:40 AM,4000,0.0
07:45 AM,4000,0.0
07:50 AM,4000,0.0
07:55 AM,4000,0.0
08:00 AM,4040,0.02
08:05 AM,4114,0.07
08:10 AM,4187,0.11
08:15 AM,4260,0.15
08:20 AM,4333,0.2
08:25 AM,4405,0.24
08:30 AM,4476,0.28
08:35 AM,4547,0.32
08:40 AM,4617,0.36
08:45 AM,4686,0.4
08:50 AM,4754,0.44
08:55 AM,4821,0.48
09:00 AM,4887,0.52
09:05 AM,4952,0.56
09:10 AM,5015,0.6
09:15 AM,5078,0.63
09:20 AM,5139,0.67
09:25 AM,5199,0.71
09:30 AM,5257,0.74
09:35 AM,5314,0.77
09:40 AM,5370,0.81
09:45 AM,5423,0.84
09:50 AM,5475,0.87
09:55 AM,5525,0.9
10:00 AM,5574,0.93
10:05 AM,5620,0.95
10:10 AM,5665,0.98
10:15 AM,5700,1.0
10:20 AM,5700,1.0
10:25 AM,5700,1.0
10:30 AM,5700,1.0
10:35 AM,5700,1.0
10:40 AM,5700,1.0
10:45 AM,5700,1.0
10:50 AM,5700,1.0
10:55 AM,5700,1.0
11:00 AM,5700,1.0
11:05 AM,5700,1.0
