Time,Color Temperature (K),Brightness
12:00 AM,4000,0.0
12:05 AM,4000,0.0
12:10 AM,4000,0.0
12:15 AM,4000,0.0
12:20 AM,4000,0.0
12:25 AM,4000,0.0
12:30 AM,4000,0.0
12:35 AM,4000,0.0
12:40 AM,4000,0.0
12:45 AM,4000,0.0
12:50 AM,4000,0.0
12:55 AM,4000,0.0
01:00 AM,4000,0.0
01:05 AM,4000,0.0
01:10 AM,4000,0.0
01:15 AM,4000,0.0
01:20 AM,4000,0.0
01:25 AM,4000,0.0
01:30 AM,4000,0.0
01:35 AM,4000,0.0
01:40 AM,4000,0.0
01:45 AM,4000,0.0
01:50 AM,4000,0.0
01:55 AM,4000,0.0
02:00 AM,4000,0.0
02:05 AM,4000,0.0
02:10 AM,4000,0.0
02:15 AM,4000,0.0
02:20 AM,4000,0.0
02:25 AM,4000,0.0
02:30 AM,4000,0.0
02:35 AM,4000,0.0
02:40 AM,4000,0.0
02:45 AM,4000,0.0
02:50 AM,4000,0.0
02:55 AM,4000,0.0
03:00 AM,4000,0.0
03:05 AM,4000,0.0
03:10 AM,4000,0.0
03:15 AM,4000,0.0
03:20 AM,4000,0.0
03:25 AM,4000,0.0
03:30 AM,4000,0.0
03:35 AM,4000,0.0
03:40 AM,4000,0.0
03:45 AM,4000,0.0
03:50 AM,4000,0.0
03:55 AM,4000,0.0
04:00 AM,4000,0.0
04:05 AM,4000,0.0
04:10 AM,4000,0.0
04:15 AM,4000,0.0
04:20 AM,4000,0.0
04:25 AM,4000,0.0
04:30 AM,4000,0.0
04:35 AM,4000,0.0
04:40 AM,4000,0.0
04:45 AM,4000,0.0
04:50 AM,4000,0.0
04:55 AM,4000,0.0
05:00 AM,4000,0.0
05:05 AM,4000,0.0
05:10 AM,4000,0.0
05:15 AM,4000,0.0
05:20 AM,4000,0.0
05:25 AM,4000,0.0
05:30 AM,4000,0.0
05:35 AM,4000,0.0
05:40 AM,4000,0.0
05:45 AM,4000,0.0
05:50 AM,4000,0.0
05:55 AM,4000,0.0
06:00 AM,4000,0.0
06:05 AM,4000,0.0
06:10 AM,4000,0.0
06:15 AM,4000,0.0
06:20 AM,4000,0.0
06:25 AM,4000,0.0
06:30 AM,4000,0.0
06:35 AM,4000,0.0
06:40 AM,4000,0.0
06:45 AM,4000,0.0
06:50 AM,4000,0.0
06:55 AM,4000,0.0
07:00 AM,4000,0.0
07:05 AM,4000,0.0
07:10 AM,4000,0.0
07:15 AM,4031,0.02
07:20 AM,4082,0.05
07:25 AM,4132,0.08
07:30 AM,4181,0.11
07:35 AM,4229,0.13
07:40 AM,4277,0.16
07:45 AM,4324,0.19
07:50 AM,4370,0.22
07:55 AM,4415,0.24
08:00 AM,4460,0.27
08:05 AM,4504,0.3
08:10 AM,4547,0.32
08:15 AM,4589,0.35
08:20 AM,4630,0.37
08:25 AM,4671,0.39
08:30 AM,4711,0.42
08:35 AM,4750,0.44
08:40 AM,4788,0.46
08:45 AM,4825,0.49
08:50 AM,4862,0.51
08:55 AM,4898,0.53
09:00 AM,4933,0.55
09:05 AM,4967,0.57
09:10 AM,5001,0.59
09:15 AM,5034,0.61
09:20 AM,5065,0.63
09:25 AM,5097,0.65
09:30 AM,5127,0.66
09:35 AM,5157,0.68
09:40 AM,5185,0.7
09:45 AM,5214,0.71
09:50 AM,5241,0.73
09:55 AM,5267,0.75
10:00 AM,5293,0.76
10:05 AM,5318,0.78
10:10 AM,5342,0.79
10:15 AM,5365,0.8
10:20 AM,5388,0.82
10:25 AM,5410,0.83
10:30 AM,5430,0.84
10:35 AM,5451,0.85
10:40 AM,5470,0.86
10:45 AM,5489,0.88
10:50 AM,5506,0.89
10:55 AM,5524,0.9
11:00 AM,5540,0.91
11:05 AM,5555,0.91
