Time,Color Temperature (K),Brightness
12:00 AM,4000,0.0
12:05 AM,4000,0.0
12:10 AM,4000,0.0
12:15 AM,4000,0.0
12:20 AM,4000,0.0
12:25 AM,4000,0.0
12:30 AM,4000,0.0
12:35 AM,4000,0.0
12:40 AM,4000,0.0
12:45 AM,4000,0.0
12:50 AM,4000,0.0
12:55 AM,4000,0.0
01:00 AM,4000,0.0
01:05 AM,4000,0.0
01:10 AM,4000,0.0
01:15 AM,4000,0.0
01:20 AM,4000,0.0
01:25 AM,4000,0.0
01:30 AM,4000,0.0
01:35 AM,4000,0.0
01:40 AM,4000,0.0
01:45 AM,4000,0.0
01:50 AM,4000,0.0
01:55 AM,4000,0.0
02:00 AM,4000,0.0
02:05 AM,4000,0.0
02:10 AM,4000,0.0
02:15 AM,4000,0.0
02:20 AM,4000,0.0
02:25 AM,4000,0.0
02:30 AM,4000,0.0
02:35 AM,4000,0.0
02:40 AM,4000,0.0
02:45 AM,4000,0.0
02:50 AM,4000,0.0
02:55 AM,4000,0.0
03:00 AM,4000,0.0
03:05 AM,4000,0.0
03:10 AM,4000,0.0
03:15 AM,4000,0.0
03:20 AM,4000,0.0
03:25 AM,4000,0.0
03:30 AM,4000,0.0
03:35 AM,4000,0.0
03:40 AM,4000,0.0
03:45 AM,4000,0.0
03:50 AM,4000,0.0
03:55 AM,4000,0.0
04:00 AM,4000,0.0
04:05 AM,4000,0.0
04:10 AM,4000,0.0
04:15 AM,4000,0.0
04:20 AM,4000,0.0
04:25 AM,4000,0.0
04:30 AM,4000,0.0
04:35 AM,4000,0.0
04:40 AM,4000,0.0
04:45 AM,4000,0.0
04:50 AM,4000,0.0
04:55 AM,4000,0.0
05:00 AM,4000,0.0
05:05 AM,4000,0.0
05:10 AM,4000,0.0
05:15 AM,4000,0.0
05:20 AM,4000,0.0
05:25 AM,4000,0.0
05:30 AM,4000,0.0
05:35 AM,4000,0.0
05:40 AM,4000,0.0
05:45 AM,4000,0.0
05:50 AM,4000,0.0
05:55 AM,4000,0.0
06:00 AM,4000,0.0
06:05 AM,4000,0.0
06:10 AM,4000,0.0
06:15 AM,4000,0.0
06:20 AM,4000,0.0
06:25 AM,4000,0.0
06:30 AM,4000,0.0
06:35 AM,4000,0.0
06:40 AM,4000,0.0
06:45 AM,4003,0.0
06:50 AM,4005,0.0
06:55 AM,4005,0.0
07:00 AM,4003,0.0
07:05 AM,4001,0.0
07:10 AM,4000,0.0
07:15 AM,4000,0.0
07:20 AM,4002,0.0
07:25 AM,4007,0.0
07:30 AM,4013,0.01
07:35 AM,4020,0.01
07:40 AM,4030,0.02
07:45 AM,4042,0.02
07:50 AM,4055,0.03
07:55 AM,4071,0.04
08:00 AM,4088,0.05
08:05 AM,4107,0.06
08:10 AM,4127,0.07
08:15 AM,4149,0.09
08:20 AM,4173,0.1
08:25 AM,4198,0.12
08:30 AM,4225,0.13
08:35 AM,4253,0.15
08:40 AM,4283,0.17
08:45 AM,4314,0.18
08:50 AM,4346,0.2
08:55 AM,4379,0.22
09:00 AM,4413,0.24
09:05 AM,4449,0.26
09:10 AM,4485,0.29
09:15 AM,4522,0.31
09:20 AM,4560,0.33
09:25 AM,4598,0.35
09:30 AM,4637,0.37
09:35 AM,4677,0.4
09:40 AM,4717,0.42
09:45 AM,4757,0.45
09:50 AM,4797,0.47
09:55 AM,4838,0.49
10:00 AM,4878,0.52
10:05 AM,4919,0.54
10:10 AM,4959,0.56
10:15 AM,4999,0.59
10:20 AM,5039,0.61
10:25 AM,5078,0.63
10:30 AM,5117,0.66
10:35 AM,5155,0.68
10:40 AM,5193,0.7
10:45 AM,5230,0.72
10:50 AM,5266,0.74
10:55 AM,5301,0.77
11:00 AM,5334,0.78
11:05 AM,5367,0.8
