CCT (K),R,G,B,Brightness
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2745,255,77,13,0.01
2857,255,82,16,0.04
2967,255,86,18,0.07
3076,255,91,21,0.1
3183,255,95,24,0.13
3288,255,99,27,0.15
3391,255,103,30,0.18
3493,255,107,33,0.21
3593,255,111,36,0.24
3691,255,114,38,0.26
3788,255,118,41,0.29
3883,255,121,44,0.31
3976,255,124,47,0.34
4068,255,127,50,0.36
4158,255,130,53,0.38
4246,255,133,56,0.41
4333,255,135,59,0.43
4417,255,138,61,0.45
4501,255,140,64,0.47
4582,255,143,67,0.5
4662,255,145,69,0.52
4740,255,147,72,0.54
4816,255,149,74,0.56
4891,255,151,77,0.58
4964,255,153,79,0.6
5035,255,155,81,0.61
5105,255,156,84,0.63
5173,255,158,86,0.65
5239,255,160,88,0.67
5303,255,161,90,0.69
5366,255,163,92,0.7
5427,255,164,94,0.72
5487,255,165,96,0.73
5544,255,167,98,0.75
5600,255,168,100,0.76
5655,255,169,101,0.78
5707,255,170,103,0.79
5758,255,171,104,0.8
5808,255,172,106,0.82
5855,255,173,108,0.83
5901,255,174,109,0.84
5945,255,175,110,0.85
5988,255,176,112,0.87
6029,255,176,113,0.88
6068,255,177,114,0.89
6105,255,178,115,0.9
6141,255,179,116,0.91
6175,255,179,117,0.91
6207,255,180,118,0.92
6238,255,180,119,0.93
6267,255,181,120,0.94
6294,255,181,121,0.95
6320,255,182,122,0.95
6343,255,182,122,0.96
6366,255,183,123,0.96
6386,255,183,124,0.97
6405,255,183,124,0.97
6422,255,184,125,0.98
6437,255,184,125,0.98
6451,255,184,126,0.99
6463,255,184,126,0.99
6473,255,184,126,0.99
6482,255,185,126,1.0
6489,255,185,127,1.0
6494,255,185,127,1.0
6498,255,185,127,1.0
6500,255,185,127,1.0
6500,255,185,127,1.0
6498,255,185,127,1.0
6495,255,185,127,1.0
6490,255,185,127,1.0
6484,255,185,127,1.0
6475,255,184,126,0.99
6465,255,184,126,0.99
6454,255,184,126,0.99
6440,255,184,125,0.98
6425,255,184,125,0.98
6408,255,183,124,0.98
6390,255,183,124,0.97
6370,255,183,123,0.97
6348,255,182,123,0.96
6324,255,182,122,0.95
6299,255,181,121,0.95
6272,255,181,120,0.94
6244,255,180,119,0.93
6213,255,180,118,0.92
6181,255,179,118,0.92
6148,255,179,117,0.91
6112,255,178,115,0.9
6075,255,177,114,0.89
6036,255,177,113,0.88
5996,255,176,112,0.87
5954,255,175,111,0.86
5910,255,174,109,0.84
5864,255,173,108,0.83
5817,255,172,106,0.82
5768,255,171,105,0.81
5718,255,170,103,0.79
5665,255,169,102,0.78
5611,255,168,100,0.77
5556,255,167,98,0.75
5498,255,165,96,0.74
5439,255,164,94,0.72
5378,255,163,92,0.7
5316,255,161,90,0.69
5252,255,160,88,0.67
5186,255,158,86,0.65
5118,255,157,84,0.64
5049,255,155,82,0.62
4978,255,153,80,0.6
4906,255,151,77,0.58
4831,255,149,75,0.56
4755,255,147,72,0.54
4677,255,145,70,0.52
4598,255,143,67,0.5
4517,255,141,65,0.48
4434,255,138,62,0.46
4350,255,136,59,0.43
4264,255,133,56,0.41
4176,255,131,54,0.39
4086,255,128,51,0.36
3995,255,125,48,0.34
3902,255,122,45,0.32
3807,255,118,42,0.29
3711,255,115,39,0.27
3613,255,112,36,0.24
3513,255,108,33,0.21
3412,255,104,30,0.19
3309,255,100,27,0.16
3204,255,96,25,0.13
3097,255,92,22,0.1
2989,255,87,19,0.08
2879,255,83,16,0.05
2768,255,78,14,0.02
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
2700,255,75,12,0.0
